City_ID,City,Latitude,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bay Saint Louis,30.3088,-89.33,42.42,87,1,6.35
1,Ushuaia,-54.8,-68.3,42.8,75,75,16.11
2,Marsá Maţrūḩ,31.3525,27.2453,55.4,62,40,12.66
3,Bluff,-46.6,168.3333,54.09,74,0,15.3
4,Emerald,-23.5333,148.1667,94.57,24,75,9.22
5,Flinders,-34.5833,150.8552,81.18,76,56,1.01
6,Kysyl-Syr,63.8986,122.7617,-40.2,77,100,1.99
7,Khatanga,71.9667,102.5,-43.04,75,9,3.11
8,Clyde River,70.4692,-68.5914,-23.8,76,1,4.61
9,Butaritari,3.0707,172.7902,80.51,77,100,14.9
10,Punta Arenas,-53.15,-70.9167,46.2,81,90,13.8
11,Cape Town,-33.9258,18.4232,67.89,88,75,2.3
12,Xining,36.6167,101.7667,24.57,64,100,3.38
13,Goderich,43.7501,-81.7165,21.2,79,100,8.05
14,Barrow,71.2906,-156.7887,-11.2,70,90,8.05
15,Sobolevo,54.4299,31.8996,19.96,97,100,14.9
16,Lüderitz,-26.6481,15.1594,65.19,52,0,21.52
17,New Norfolk,-42.7826,147.0587,68.16,62,81,4.0
18,Province of Trapani,37.8333,12.6667,56.64,88,0,20.71
19,Kutum,14.2,24.6667,49.91,43,0,9.91
20,Port Alfred,-33.5906,26.891,68.0,79,19,1.01
21,Puerto Ayora,-0.7393,-90.3518,78.01,92,33,5.99
22,Leningradskiy,69.3833,178.4167,-22.49,85,100,7.31
23,Faanui,-16.4833,-151.75,81.39,65,100,5.03
24,Boussé,12.6606,-1.8922,71.6,20,0,6.91
25,Port Elizabeth,-33.918,25.5701,64.4,72,0,2.3
26,Bredasdorp,-34.5322,20.0403,64.0,88,87,6.4
27,Lubango,-14.9172,13.4925,61.3,78,100,3.87
28,Muros,42.7762,-9.0603,55.99,81,10,18.99
29,Jamestown,42.097,-79.2353,18.79,79,90,8.05
30,Luena,-11.7833,19.9167,59.63,96,64,2.62
31,Qaanaaq,77.484,-69.3632,-13.52,63,0,5.32
32,Zaysan,47.4667,84.8667,5.49,92,85,2.93
33,Avarua,-21.2078,-159.775,80.6,83,20,1.14
34,Vaini,-21.2,-175.2,80.6,89,90,8.05
35,Karratha,-20.7377,116.8463,92.12,48,27,12.73
36,Vilyuysk,63.7553,121.6247,-40.49,78,100,2.77
37,Norman Wells,65.282,-126.8329,-31.0,75,75,2.3
38,Ahipara,-35.1667,173.1667,66.99,64,58,5.46
39,Vao,-22.6667,167.4833,76.03,75,22,19.98
40,Grants,35.1473,-107.8514,32.0,80,90,28.77
41,Otane,-39.8833,176.6333,61.0,64,84,10.38
42,Nanortalik,60.1432,-45.2371,32.83,89,99,8.84
43,Rome,43.2128,-75.4557,4.84,67,90,3.44
44,Mataura,-46.1927,168.8643,67.05,45,0,2.13
45,Havre-St-Pierre,50.2334,-63.5986,6.8,66,1,10.36
46,Pevek,69.7008,170.3133,-29.92,85,28,4.47
47,Makakilo City,21.3469,-158.0858,72.95,68,1,6.91
48,Roald,62.5833,6.1333,31.1,80,90,9.22
49,Atuona,-9.8,-139.0333,78.62,78,14,19.53
50,Sur,22.5667,59.5289,71.46,37,0,7.05
51,Tommot,58.9564,126.2925,-28.21,79,100,0.87
52,Dikson,73.5069,80.5464,-34.47,84,94,7.94
53,Rikitea,-23.1203,-134.9692,79.41,77,35,12.62
54,Kavieng,-2.5744,150.7967,84.27,77,86,14.2
55,Washougal,45.5826,-122.3534,40.95,81,90,5.75
56,Marawi,7.9986,124.2928,82.0,82,87,8.01
57,Lakota,5.8528,-5.6883,72.57,93,58,0.72
58,Seybaplaya,19.65,-90.6667,69.98,75,20,12.3
59,Berlevåg,70.8578,29.0864,26.29,96,100,21.72
60,Busselton,-33.65,115.3333,88.0,36,0,5.01
61,Lompoc,34.6391,-120.4579,41.9,93,1,3.44
62,Nikolskoye,59.7035,30.7861,28.58,93,90,6.71
63,San Patricio,28.017,-97.5169,66.06,77,90,11.5
64,Belyy Yar,53.6039,91.3903,24.8,50,0,15.66
65,Albany,42.6001,-73.9662,6.08,77,2,8.12
66,Rāvar,31.2656,56.8055,63.0,28,18,33.29
67,Kapaa,22.0752,-159.319,72.61,83,75,18.41
68,Mount Gambier,-37.8333,140.7667,64.4,72,90,13.8
